timestep,true_position,predicted_position,trajectory_error,path_error,nees,train_samples,test_id
740.0,[2007.27595149 2675.9584102   740.        ],[1865.97522137 2484.97214434  740.        ],[-141.30073012 -190.98626585    0.        ],[-168.60847184   -2.70225227  -20.        ],0.3583904557133387,500,271
809.0,[2071.47019118 1982.52825027  809.        ],[1960.2233327  1856.18812893  810.        ],[-111.24685848 -126.34012134    1.        ],[-125.53902501  -35.73889166   -9.        ],0.2698659485197742,500,271
888.0,[2145.31212007  862.06448203  888.        ],[2076.12872467 1124.87905205  890.        ],[-69.1833954  262.81457003   2.        ],[-69.1833954  262.81457003   2.        ],0.8851856699942913,500,271
12.0,[9927.65772143 8184.57096427   12.        ],[9871.95908424 8129.24122303   10.        ],[-55.69863719 -55.32974124  -2.        ],[  0.   0. -12.],0.024628864818800313,115,272
81.0,[9390.35564587 7444.94434386   81.        ],[9485.34334625 7745.43700289   80.        ],[ 94.98770039 300.49265903  -1.        ],[-123.96430975   82.97328004   39.        ],0.39528422379949796,115,272
372.0,[7360.25919877 4967.25735524  372.        ],[7887.90128785 6147.85028113  370.        ],[ 527.64208909 1180.59292589   -2.        ],[-306.66689209  342.42511306  148.        ],6.160412037564868,115,272
680.0,[5678.40722536 3011.27393356  680.        ],[6176.8012884  4425.36511947  680.        ],[ 498.39406303 1414.09118591    0.        ],[-471.69226967  432.50844963  180.        ],8.155777367266149,115,272
742.0,[5495.84326046 2802.93189438  742.        ],[5851.44519101 4096.45374936  740.        ],[ 355.60193055 1293.52185498   -2.        ],[-450.31050558  477.41831078  148.        ],6.604643506157058,115,272
1109.0,[4429.77360363 1537.30202218 1109.        ],[3853.37222484 2069.9681731  1110.        ],[-576.4013788   532.66615092    1.        ],[-576.4013788   532.66615092    1.        ],2.4711922875901444,115,272
0.0,[12382.80909087  8592.37366103     0.        ],[12382.80909087  8592.37366103     0.        ],[0. 0. 0.],[0. 0. 0.],0.0,25,273
88.0,[11733.63092706  8007.25612985    88.        ],[11755.15146733  8167.50462745    90.        ],[ 21.52054027 160.2484976    2.        ],[-48.51204044 113.29151782  12.        ],0.10493784489287994,25,273
297.0,[9530.2471393 6532.9565759  297.       ],[10285.68494898  7180.69144054   300.        ],[755.43780969 647.73486465   3.        ],[-80.17729904  86.20028221 123.        ],3.9907738525947587,25,273
458.0,[8690.89817872 5970.60203111  458.        ],[9171.84455157 6432.16392472  460.        ],[480.94637286 461.5618936    2.        ],[-77.45872401  86.80218203  82.        ],1.799916409878931,25,273
505.0,[7782.90219881 5343.44502949  505.        ],[8892.18277491 6244.97407035  500.        ],[1109.2805761   901.52904086   -5.        ],[-77.34565077 102.20562761 165.        ],8.269554173807128,25,273
719.0,[6536.86603186 4457.82110885  719.        ],[7356.05700113 5210.01206132  720.        ],[819.19096926 752.19095247   1.        ],[-89.32062437 140.43787021 131.        ],5.0115621168290945,25,273
818.0,[5718.85330702 3884.7552476   818.        ],[6657.3878727  4739.63658554  820.        ],[938.53456568 854.88133794   2.        ],[-109.2476813   148.29392643  152.        ],6.5415734910965035,25,273
1090.0,[3526.23040336 2336.87150644 1090.        ],[4776.28940594 3469.995895   1090.        ],[1250.05900257 1133.12438856    0.        ],[-142.22763153  193.25719585  200.        ],11.646677273799094,25,273
1179.0,[2791.8928291  1838.40834033 1179.        ],[4151.99327422 3048.48519706 1180.        ],[1.36010045e+03 1.21007686e+03 1.00000000e+00],[-108.55424124  220.83302133  211.        ],13.55669148209977,25,273
1449.0,[ 472.36570593  419.31766038 1449.        ],[2263.94477039 1777.71031576 1450.        ],[1.79157906e+03 1.35839266e+03 1.00000000e+00],[1.79157906e+03 1.35839266e+03 1.00000000e+00],20.75627574953011,25,273
